0,total_value
고이,-0.5294117647058822
고인,-0.625
고임,-0.3846153846153846
고자,-0.2727272727272727
고작,-0.8974358974358974
고장,-0.37649277184160906
고장나,-0.2350119904076739
고장난,-0.6943231441048034
고장났,-0.8593406593406594
고전,-0.5625
고정,-0.5892514395393473
고정대,-0.7894736842105263
고정부,-0.6000000000000001
고주파,-0.8666666666666667
고지,-0.9238095238095239
고지도,-0.8333333333333333
고진,-0.07317073170731708
고집,0.41379310344827586
고체,0.42307692307692313
고쳐,-0.7657657657657657
고쳐서,-0.8360655737704918
고쳐야,-0.5294117647058822
고쳤,-0.875
고추,-0.10749185667752448
고추가,-0.4166666666666667
고추장,0.07826086956521738
고춧가루,-0.7818181818181817
고치,-0.7411764705882353
고칠,-0.4285714285714286
고퀄,0.4871794871794872
고탄력,-0.22222222222222227
고통,-0.574468085106383
고품질,0.4545454545454546
고학년,0.9285714285714286
고함,-0.7777777777777777
고향,0.23529411764705888
곡,-0.06976744186046507
곡면,-0.6428571428571428
곡물,-0.23076923076923078
곡선,-0.4883720930232558
곤,-0.05555555555555558
곤란,-0.7154471544715446
곤색,-0.09090909090909088
곤약,0.4307692307692308
곧,0.08450704225352118
곧바로,-0.3333333333333333
곧잘,0.3333333333333333
골,-0.5297619047619047
골고루,0.39512195121951216
골덴,-0.6065573770491803
골드,0.23770491803278687
골드색,-0.3333333333333333
골든,0.4545454545454546
골라,-0.10204081632653056
골라서,-0.05882352941176472
골라야,-0.19999999999999996
골랐,0.23333333333333334
골반,-0.3106212424849699
골뱅이,0.09090909090909088
골지,-0.08965517241379306
골치,-0.6428571428571428
골판지,-0.5833333333333333
골프,0.2820512820512821
골프공,-0.37777777777777777
곪,-0.9545454545454546
곯,-0.9487179487179487
곰,0.07692307692307687
곰국,0.25
곰돌이,0.3023255813953489
곰탕,0.2549019607843137
곰팡,-0.7425287356321839
곰팡이,-0.5176613885505481
곱,0.33125000000000004
곱슬,-0.6666666666666667
곱창,-0.7507082152974505
곳,-0.289779424145479
곳곳,-0.52
공,-0.32298136645962733
공간,0.31628787878787884
공감,-0.35294117647058826
공개,-0.028571428571428525
공구,-0.33858267716535434
공급,0.36111111111111116
공기,-0.04198473282442744
공동,0.2765957446808511
공룡,-0.28
공병,-0.07462686567164178
공복,0.7446808510638299
공부,0.6023738872403561
공부방,0.8999999999999999
공사,-0.3333333333333333
공사장,-0.8181818181818181
공산품,-0.4666666666666666
공수,0.2727272727272727
공식,0.07216494845360821
공업,-0.7931034482758621
공연,0.0
공용,-0.10169491525423724
공원,-0.4285714285714286
공유,0.2592592592592593
공유기,0.14285714285714285
공인,-0.6666666666666667
공임,0.76
공장,-0.20533333333333337
공정,-0.8378378378378379
공주,0.5135135135135136
공중,-0.5
공지,-0.7987421383647799
공짜,-0.4222222222222223
공학,-0.7333333333333334
공항,-0.8666666666666667
공향,-0.14285714285714285
공홈,-0.0714285714285714
공회전,0.9375
공휴일,0.1555555555555555
곶,0.14285714285714285
곻,0.75
과,-0.2181818181818182
과감,-0.07692307692307687
과감히,-0.10000000000000003
과거,-0.26666666666666666
과내,-0.11111111111111116
과다,0.07692307692307687
과대,-0.6589147286821706
과대광고,-0.9166666666666667
과도,-0.11111111111111116
과라,-0.39534883720930236
과수,-0.6153846153846154
과실,-0.7808219178082192
과연,-0.4683544303797469
과열,-0.375
과육,-0.3877551020408163
과일,-0.00490677134445533
과자,-0.2631578947368421
과장,-0.849624060150376
과정,-0.6160458452722064
과제,0.6363636363636365
과즙,0.08823529411764702
과채,0.9259259259259258
과하,0.23214285714285715
과학,0.7142857142857142
과한,-0.6296296296296295
곽,-0.4666666666666666
관,0.025641025641025605
관건,0.5652173913043479
관계,-0.03333333333333338
관계없이,-0.14285714285714285
관계자,-0.4545454545454546
관련,-0.4883720930232558
관리,-0.27510040160642574
관리자,-0.6666666666666667
관상용,-0.6000000000000001
관심,0.1063829787234043
관심없,-0.3846153846153846
관절,0.1208791208791209
관한,-0.39999999999999997
관해,-0.8461538461538463
괌,0.0
광,-0.1834862385321101
광고,-0.7497716894977169
광복절,-0.23076923076923078
광색,-0.5151515151515151
광센서,0.39999999999999997
광어,-0.9259259259259258
광주,-0.4444444444444444
광택,-0.26479750778816197
광택제,0.17647058823529416
괘,0.5585585585585586
괜시리,0.1578947368421053
괜찮,0.43227517124548864
괜찮아,0.9298245614035088
괜한,0.3015873015873016
괜히,-0.8480325644504749
괴,-0.049180327868852514
괴롭,-0.8571428571428572
괴안,0.441860465116279
괸,0.49743589743589745
굉장,-0.4098360655737705
굉장히,-0.06788511749347254
교,-0.2252252252252252
교복,0.4791666666666667
교시,0.0
교육,-0.631578947368421
교자상,0.9166666666666667
교재,0.5294117647058822
교정,0.24242424242424243
교차,-0.4285714285714286
교체,0.14110429447852763
교화,-0.3333333333333333
교환,-0.7440677966101694
교환원,-0.8666666666666667
교회,-0.0625
교훈,-0.8823529411764706
구,-0.05775075987841949
구겨,-0.7757009345794392
구겨서,-0.9333333333333333
구겨져,-0.75
구겨져서,-0.7477477477477477
구겨졌,-0.4615384615384615
구겨지,-0.5828877005347595
구겨진,-0.7431192660550459
구겨질,-0.4666666666666666
구겨짐,-0.8333333333333333
구경,0.12195121951219517
구구,0.76
구구구구,-0.6470588235294117
구글,-0.9047619047619047
구김,-0.26795895096921324
구깃구깃,-0.7333333333333334
구나,-0.6923076923076923
구내,-0.17647058823529416
구도,-0.5510204081632653
구동,0.2727272727272727
구두,-0.05641025641025643
구라,-0.5862068965517242
구래,0.021276595744680826
구려,-0.9261213720316623
구르,-0.21052631578947367
구름,0.3015873015873016
구리,-0.7530864197530864
구리구리,-0.6666666666666667
구린,-0.736842105263158
구린내,-0.9310344827586208
구림,-0.9850187265917603
구립,-0.7647058823529411
구마,0.05882352941176472
구만,-0.75
구매,0.16806987399770906
구매자,-0.7487437185929648
구매처,-0.6470588235294117
구매품,-0.6000000000000001
구멍,-0.7398561151079137
구멍나,-0.7603305785123966
구메,0.5
구명조끼,0.14942528735632182
구문,0.5
구미,0.5
구배,0.09090909090909088
구별,-0.1333333333333333
구부,-0.5714285714285714
구부러져,-0.7777777777777777
구부러져서,-0.5454545454545454
구부러지,-0.6000000000000001
구부러진,-0.6923076923076923
구부려,-0.8
구부리,-0.25
구부정,0.3333333333333333
구분,-0.25748502994011974
구비,0.7922077922077921
구색,-0.10000000000000003
구석,-0.6464088397790055
구석구석,0.016949152542372836
구성,0.18120805369127518
구수,0.42105263157894735
구스,-0.16666666666666669
구슬,-0.19999999999999996
구식,0.06666666666666665
구실,-0.8571428571428572
구애,0.375
구어,0.368421052631579
구여,0.3162393162393162
구역,-0.6923076923076923
구연산,0.7593984962406015
구염,0.3333333333333333
구영,0.3333333333333333
구요,0.031367628607277265
구용,0.7322834645669292
구우,0.01754385964912286
구우면,0.0535714285714286
구운,-0.4430379746835443
구울,-0.1875
구워,0.31713244228432563
구워도,-0.28571428571428575
구워서,0.18592964824120606
구웠,-0.22162162162162158
구이,0.19999999999999996
구입,0.37955112219451376
구입가,0.6923076923076923
구정,0.1538461538461538
구정물,-0.7333333333333334
구제,-0.7894736842105263
구조,-0.411764705882353
구조물,-0.6363636363636365
구지,-0.032258064516129004
구질구질,-0.8181818181818181
구찌,-0.8571428571428572
구차,-0.6000000000000001
구찮,-0.75
구천,-0.4666666666666666
구체,-0.05882352941176472
구토,-0.23076923076923078
구포,-0.5263157894736843
구하,0.10588235294117648
구한,0.0
